rank	lemma
119	sich
166	gibt
169	Menschen
171	man
191	Jahren
197	Informationen
200	neue
212	Kinder
222	Euro
223	Unternehmen
227	anderen
232	Jahre
236	neuen
251	Verfügung
253	weitere
254	Bereich
255	ersten
261	bietet
264	gilt
267	geht
269	steht
270	Hochschule
274	Entwicklung
288	Schulen
297	Sachsen
300	andere
303	vielen
307	Schülerinnen
310	jedoch
314	Themen
317	per
318	sollten
320	liegt
329	insbesondere
330	kommt
333	Dies
336	nutzen
337	verschiedenen
338	Projekte
339	besteht
340	bieten
349	findet
353	Personen
354	eigenen
359	Kindern
362	eigene
365	stellt
372	unterstützt
378	Projekt
381	Frauen
382	Studierenden
386	beiden
388	jeweiligen
393	deutschen
397	Maßnahmen
398	Mitarbeiter
399	erfolgt
409	gehört
413	Aufgaben
414	beispielsweise
418	aktuellen
421	macht
424	Fall
425	Veranstaltungen
426	daher
429	große
431	letzten
434	sowohl
438	Inhalte
439	Nutzung
442	gute
443	zeigt
451	Angebote
454	Leistungen
457	Zusammenarbeit
458	einzelnen
462	Form
463	Millionen
467	bleibt
470	großen
474	lässt
480	Kunden
482	aktuelle
485	gemacht
486	informieren
489	weiteren
492	Höhe
494	Patienten
495	Stunden
497	Zudem
498	ebenfalls
507	Berlin
511	Interesse
513	derzeit
515	insgesamt
519	setzt
525	Herausforderungen
526	Webseite
529	entwickelt
537	Alltag
540	Familien
542	GmbH
543	Medien
547	Seiten
548	Stiftung
549	Wochen
550	digitale
553	führt
560	wichtige
563	Anforderungen
574	gerne
575	gesetzlichen
576	hohe
578	meist
580	Überblick
583	Fällen
586	Region
587	Studierende
588	Website
591	besondere
592	digitalen
593	somit
594	sozialen
600	Jugendlichen
601	Tage
602	Umsetzung
606	ermöglicht
611	verschiedene
613	Erfahrungen
616	Jugendliche
619	anderem
620	aufgrund
623	dienen
624	gab
626	weniger
630	Ansprechpartner
631	Baden-Württemberg
632	Bedeutung
634	Möglichkeiten
637	allerdings
638	besten
640	kleine
644	verwendet
648	Bereichen
649	Cookies
651	Hochschulen
653	Mitglieder
654	NRW
656	Schutz
658	Verfahren
660	durchgeführt
661	ermöglichen
665	kleinen
668	weiterhin
669	weltweit
670	wichtigsten
671	zunächst
675	Digitalisierung
676	Google
677	Hause
678	Verwendung
679	dient
680	ebenso
682	grundsätzlich
684	jederzeit
686	mehrere
688	nächsten
693	Freistaat
695	Produkte
696	Sinne
703	heißt
704	häufig
708	solche
710	unterschiedliche
711	vergangenen
713	öffentlichen
720	Beginn
722	Bundesregierung
723	Einrichtungen
724	Kompetenzen
725	Landes
726	Leipzig
731	Voraussetzungen
732	Wissenschaft
733	aktiv
734	aktuell
735	beraten
739	freuen
740	gemeinsame
741	genutzt
742	gespeichert
743	gleichzeitig
744	guten
746	jungen
747	konnten
751	unterschiedlichen
753	zahlreiche
756	Angaben
758	Dresden
760	Ergebnisse
761	Integration
763	Kommunen
764	Kooperation
766	Länder
770	angeboten
771	entsprechend
774	informiert
776	persönlichen
777	richtet
779	soziale
783	zusätzlich
786	Bund
787	Kindes
791	Schülern
792	Technik
793	Teilnehmer
795	bedeutet
796	benötigen
797	bestimmte
798	bringt
800	einigen
803	fand
806	möglichst
808	personenbezogenen
809	sagt
810	sieht
812	umgesetzt
814	zweiten
817	App
820	Bezug
822	Browser
824	Europäischen
826	Gestaltung
831	Materialien
834	Regelungen
835	Service
837	Start
839	Tagen
840	Zeiten
841	ausschließlich
844	dadurch
847	entsprechenden
848	erklärt
849	fördert
850	gestellt
852	individuelle
862	Bevölkerung
863	Corona
866	Fakultät
867	Fokus
869	Hinweise
873	Mitglied
874	Monate
875	Nutzer
876	Pandemie
877	Semester
883	Ziele
884	befinden
885	beträgt
887	entsprechende
888	ergänzt
890	fördern
891	hohen
893	internationalen
897	wichtiger
899	Absatz
901	Austausch
903	Bayern
904	Bedarf
905	Berliner
908	Durchführung
912	Interessen
913	Köln
914	Lehrkräfte
920	Rheinland-Pfalz
922	Technologien
923	Union
926	dar
927	eingesetzt
928	enthält
930	erfolgen
932	gegeben
934	hierfür
936	individuellen
940	richtige
942	spielt
947	Artikel
952	Ebene
953	Eigenschaften
956	Internetseite
957	Landkreis
958	Lösungen
959	Media
961	Mittel
962	Monaten
964	Organisationen
965	Politik
968	Standort
971	Zeitraum
973	beziehungsweise
975	erhält
976	erstellt
977	funktioniert
978	gefördert
979	ging
981	größten
982	hilft
983	stärken
984	technische
985	trotz
987	verbunden
988	welcher
989	Öffentlichkeit
992	Behandlung
994	Besucher
996	Fähigkeiten
998	Initiative
1000	Konzept
1002	Niedersachsen
1005	Prüfungen
1007	Stuttgart
1008	Umfeld
1011	Veränderungen
1012	Videos
1016	allgemeinen
1017	arbeitet
1018	ausgeschlossen
1021	betroffen
1025	gemäß
1026	genannten
1030	handelt
1032	regionalen
1033	sinnvoll
1034	sogenannte
1035	technischen
1036	teilweise
1037	verpflichtet
1038	wenden
1040	Änderung
1044	Anbieter
1045	Anzahl
1046	Aspekte
1048	Behörden
1050	Chancen
1052	EU
1053	Engagement
1057	Gemeinden
1059	Kommunikation
1063	Ländern
1064	Matratze
1066	Minuten
1067	Männer
1068	München
1071	Regeln
1073	Schwerpunkt
1075	Social
1077	Teams
1080	Vergleich
1081	Vernetzung
1083	Vielfalt
1088	benötigt
1089	berufliche
1090	bildet
1092	erreicht
1093	erstellen
1094	finanziellen
1095	gemeinsamen
1096	gesamte
1097	gesamten
1098	geschaffen
1100	großer
1101	inzwischen
1103	nimmt
1105	organisiert
1106	richtigen
1108	spricht
1112	wobei
1116	öffentliche
1123	Bayerischen
1124	Bedingungen
1126	Beschäftigten
1127	Bürgerinnen
1129	Corona-Pandemie
1130	Entwicklungen
1131	Erkrankungen
1135	Hinweis
1137	Ideen
1140	Michael
1143	Mittelpunkt
1144	Münster
1151	Sicht
1154	Tiere
1155	Tipps
1156	Umgang
1158	Versorgung
1161	Webseiten
1162	Wege
1163	Weiterentwicklung
1165	Workshops
1166	angepasst
1168	beschäftigt
1169	bezeichnet
1171	erlebt
1179	kostenfrei
1180	könnten
1181	mögliche
1182	neues
1185	politischen
1191	umfasst
1193	veröffentlicht
1194	vorgesehen
1195	wirkt
1198	Übersicht
1202	Anliegen
1205	Aufbau
1207	Auswahl
1208	Barrierefreiheit
1210	Bilder
1211	Coronavirus
1213	Demokratie
1214	Download
1215	Experten
1218	Geschichten
1221	Handeln
1223	II
1224	IP-Adresse
1225	Impfung
1226	Jahres
1232	Perspektiven
1234	Planung
1236	Probleme
1237	Prozess
1238	Regionen
1239	Ressourcen
1240	Teilnehmenden
1241	Vorgaben
1242	Wirkung
1244	Zugriff
1246	alten
1247	aufgenommen
1248	befindet
1250	beginnt
1251	behandelt
1252	beruflichen
1253	besonderen
1254	bewerben
1255	entscheidet
1256	entweder
1257	erfasst
1258	erleben
1259	erscheint
1262	festgelegt
1263	folgenden
1264	ganze
1265	gefunden
1266	getestet
1267	gleichen
1268	großes
1269	innovative
1270	kam
1271	lediglich
1274	nachhaltige
1275	profitieren
1276	regionale
1277	sodass
1280	untersucht
1281	wissenschaftliche
1282	zugleich
1283	Änderungen
1288	Aktivitäten
1289	Anfrage
1291	Auswirkungen
1292	Bestandteil
1293	Bewohner
1295	Datenschutzerklärung
1296	Dienste
1297	Dienstleistungen
1300	Erfüllung
1303	Fotos
1305	Geräte
1307	Gründe
1309	Institut
1311	Kollegen
1314	Mitarbeiterinnen
1319	Organisation
1320	Plätze
1322	Spiele
1324	Unternehmens
1330	begleiten
1331	berät
1332	bestehenden
1334	braucht
1336	erfüllt
1339	folgt
1340	ganzen
1341	gelöscht
1342	geregelt
1343	gestaltet
1344	hält
1346	lohnt
1347	läuft
1348	mittels
1351	notwendigen
1352	nächste
1353	of
1354	politische
1355	prüfen
1356	reicht
1357	richten
1358	schafft
1359	sogenannten
1360	verarbeitet
1361	verbessert
1362	vielfältigen
1363	welches
1365	wichtigen
1366	wirtschaftlichen
1369	zentrale
1370	zentralen
1372	zuständige
1373	zuständigen
1374	überwiegend
1378	Abitur
1380	Anschließend
1381	Bau
1382	Beteiligten
1383	Betreuung
1385	Christian
1387	Facebook
1390	Hamburg
1391	Hannover
1397	Investitionen
1398	Kita
1400	Management
1401	Methode
1402	Methoden
1403	Ministerium
1404	Namen
1407	Regelung
1410	Städte
1411	Systeme
1412	Titel
1413	Tokio
1414	Umfang
1415	Verbesserung
1416	Veröffentlichung
1417	Zahl
1420	Zwecke
1422	begleitet
1424	berücksichtigt
1425	beteiligt
1426	betroffene
1428	digital
1429	durchaus
1430	einschließlich
1431	einzelne
1434	entsteht
1435	geeignet
1437	genommen
1438	geplant
1439	geschützt
1440	gesellschaftlichen
1441	gezielt
1442	größere
1444	klassischen
1445	kostenlose
1446	mehreren
1448	modernen
1449	möglichen
1450	neuer
1452	persönliche
1453	praktische
