riesig	huge, enormous			adjective
gelaunt	in a certain mood, inclined			adjective
das Atmen, Atmen	breathing
gezielt	targeted, deliberate			adjective
das Bedürfnis, Bedürfnisse	need, requirement
unfassbar	incomprehensible, unfathomable			adjective
das Wurzelverzeichnis, Wurzelverzeichnisse	root directory
umfassende	comprehensive, extensive			adjective
verwalten, verwaltete, verwaltet	to manage, to administer
das Muster, Muster	pattern, template, sample
die Drehscheibe, Drehscheiben	turntable, hub
umstrittenen	contested, disputed			adjective
das Lagebild, Lagebilder	situation picture, overall assessment
Betriebs- (prefix)	operating...		truncated word
der Zugriff, Zugriffe	access, grip
das Sinnbild, Sinnbilder	symbol, embodiment
die Tötungsentscheidung, Tötungsentscheidungen	killings decisions, decisions to kill
scheuen, scheute, gescheut	to shy away from, to avoid
hiesig	local, of this place			adjective
der Ableger, Ableger	offshoot, branch, clone
die Angaben, die Angaben	details, specifications, information
gemäss	according to, as per			preposition
eingesetzt	deployed, used, engaged			adjective
Eidgenössische	Federal (Swiss)			adjective
die Angelegenheit, Angelegenheiten	matters, affairs
der Söldner, Söldner	mercenary
meldepflichtig	subject to notification/registration requirement			adjective
äußern, äußerte, geäußert	to express, to state
lehnen, lehnte, gelehnt	to lean, to refuse
die Ansiedlung, Ansiedlungen	settlement, establishment
geraten, geriet, geraten	to get into, to turn out
die Rekursinstanz, Rekursinstanzen	apppeals court, appellate instance
die Niederlassung, Niederlassungen	establishment, branch, settlement
das Handelsregister, Handelsregister	commercial register
abwimmeln, wimmelte ab, abgewimmelt	to brush off, to get rid of
die Anwaltskanzlei, Anwaltskanzleien	law firm
leger	casual, informal			adjective
einräumen, räumte ein, eingeräumt	to grant, to acknowledge, to arrange
erhebliches	substantial, considerable			adjective
befürchten, befürchtete, befürchtet	to fear, to worry about
das Visier, Visiere	visor, sight
der Staubsauger, Staubsauger	vacuum cleaner
belebten	lively, busy			adjective
geprägten	characterized, stamped			adjective
empfangen, empfing, empfangen	to receive, to accept
eingemietet	rented in, taken rooms			adjective
festlaufen, lief fest, festgelaufen	to get stuck, to run aground
das Betriebssystem, Betriebssysteme	operating system
entfernen, entfernte, entfernt	to remove, to distance
zugeknöpft	buttoned up, reserved, secretive			adjective
ausführliche	detailed, comprehensive			adjective
die Bedingung, Bedingungen	conditions, terms
die Einsicht, Einsichten	insight, understanding, inspection
unterliegen, unterlag, unterlegen	to be subject to, to fall under
das Geheimnis, Geheimnisse	secret
pauschale	flat-rate, lump-sum			adjective
rügen, rügte, gerügt	to reprimand, to criticize
beurteilen, beurteilte, beurteilt	to judge, to assess
zivilgesellschaftlichen	civil society			adjective
ehemalige	former			adjective
spüren, spürte, gespürt	to feel, to sense
bemühen, bemühte, bemüht	to endeavor, to make an effort
wittern, witterte, gewittert	to scent, to catch wind of
künftig	future, in the future			adjective
der Anreiz, Anreize	incentive, inducement
die Fachkraft, Fachkräfte	specialist, skilled worker
sinngemäss	analogously, in a meaningful sense			adverb
die Bewilligung, Bewilligungen	permit, approval, authorization
treiben, trieb, getrieben	to drive, to pursue
empfindlich	sensitive, touchy			adjective
